Date et Heure,Température (°C),Humidité (%),Statut,Alertes,Risque de Panne (%),Statut Moteur,Détails
2025-04-21 15:20:45,25.0,64.7,normal,NORMAL,0.0,OK,Normal
2025-04-21 15:20:55,24.8,64.8,normal,NORMAL,0.0,OK,Normal
2025-04-21 15:21:05,24.7,63.9,normal,NORMAL,0.0,OK,Normal
2025-04-21 15:21:15,24.4,63.0,normal,NORMAL,0.0,OK,Normal
2025-04-21 15:21:25,24.2,63.4,normal,NORMAL,0.0,OK,Normal
2025-04-21 18:44:39,24.9,58.1,normal,NORMAL,0.0,OK,Normal
2025-04-21 18:44:49,24.3,59.0,normal,NORMAL,0.0,OK,Normal
2025-04-21 18:44:59,23.9,60.1,normal,NORMAL,0.0,OK,Normal
2025-04-21 18:45:09,23.6,61.3,normal,NORMAL,0.0,OK,Normal
2025-04-21 18:45:19,23.3,61.5,normal,NORMAL,0.0,OK,Normal
2025-04-21 18:45:29,23.2,62.0,normal,NORMAL,0.0,OK,Normal
2025-04-21 18:45:41,22.9,62.5,normal,NORMAL,0.0,OK,Normal
2025-04-21 18:45:49,22.8,62.9,normal,NORMAL,0.0,OK,Normal
2025-04-21 18:45:59,22.6,63.1,normal,NORMAL,0.0,OK,Normal
2025-04-21 18:46:09,22.5,63.5,normal,NORMAL,0.0,OK,Normal
2025-04-21 18:46:19,22.4,63.9,normal,NORMAL,0.0,OK,Normal
2025-04-21 18:46:29,22.3,63.9,normal,NORMAL,0.0,OK,Normal
2025-04-21 18:46:39,22.2,64.3,normal,NORMAL,0.0,OK,Normal
2025-04-21 18:46:49,22.1,64.7,normal,NORMAL,0.0,OK,Normal
2025-04-21 18:46:59,22.0,64.9,normal,NORMAL,0.0,OK,Normal
2025-04-21 18:47:09,21.9,65.2,normal,NORMAL,0.0,OK,Normal
2025-04-21 18:47:19,21.9,65.2,normal,NORMAL,0.0,OK,Normal
2025-04-21 18:47:29,21.9,65.4,normal,NORMAL,0.0,OK,Normal
2025-04-21 18:47:39,21.7,65.5,normal,NORMAL,0.0,OK,Normal
2025-04-21 18:47:49,21.7,66.0,normal,NORMAL,0.0,OK,Normal
2025-04-21 18:47:59,21.6,66.0,normal,NORMAL,0.0,OK,Normal
2025-04-21 18:48:09,21.7,65.9,normal,NORMAL,0.0,OK,Normal
2025-04-21 18:48:19,21.5,66.2,normal,NORMAL,0.0,OK,Normal
2025-04-21 19:22:47,21.5,66.2,normal,NORMAL,0.0,OK,Normal
2025-04-22 18:56:14,22.1,64.9,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
2025-04-22 18:56:24,22.0,64.9,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
2025-04-22 18:56:34,22.0,64.9,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
2025-04-22 18:56:45,21.9,65.1,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
2025-04-22 18:56:54,21.9,65.1,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
2025-04-22 18:57:04,21.9,65.3,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
2025-04-22 18:57:14,21.8,65.3,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
2025-04-22 18:57:24,21.8,65.6,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
2025-04-22 18:57:34,21.7,65.6,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
2025-04-22 18:57:44,21.7,65.8,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
2025-04-22 18:57:54,21.6,66.0,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
2025-04-22 18:58:04,21.6,66.2,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
2025-04-22 18:58:14,21.5,66.3,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
2025-04-22 18:58:24,21.5,66.4,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
2025-04-22 18:58:34,21.4,66.3,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
2025-04-22 18:58:44,21.4,66.4,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
2025-04-22 18:58:54,21.4,66.5,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
2025-04-22 18:59:04,21.4,69.2,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
2025-04-22 18:59:14,21.4,67.7,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
2025-04-22 18:59:24,21.5,66.7,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
2025-04-22 18:59:36,21.5,66.9,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
2025-04-22 18:59:44,21.4,66.5,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
2025-04-22 18:59:56,21.4,66.6,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
2025-04-22 19:00:04,21.4,66.7,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
2025-04-22 19:00:14,21.3,66.8,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
2025-04-22 19:00:24,21.4,66.6,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
2025-04-22 19:00:34,21.3,66.7,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
2025-04-22 19:00:44,21.3,67.0,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
2025-04-22 19:00:54,21.3,67.0,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
2025-04-22 19:01:04,21.2,67.3,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
2025-04-22 19:01:14,21.3,67.2,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
2025-04-22 19:01:24,21.1,67.3,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
2025-04-22 19:01:34,21.2,67.3,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
2025-04-22 19:01:44,21.2,67.3,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
2025-04-22 19:01:54,21.2,67.2,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
2025-04-22 19:02:04,21.1,67.2,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
2025-04-22 19:02:14,21.2,67.4,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
2025-04-22 19:02:24,21.2,67.4,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
2025-04-22 19:02:34,21.1,67.7,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
2025-04-22 19:02:44,21.1,67.8,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
2025-04-22 19:02:54,21.0,68.1,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
2025-04-22 19:03:04,21.1,68.3,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
2025-04-22 19:03:14,21.0,68.3,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
2025-04-22 19:03:24,21.1,68.3,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
2025-04-22 19:03:34,21.0,68.6,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
2025-04-22 19:03:44,21.0,68.6,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
2025-04-22 19:03:54,21.0,68.7,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
2025-04-22 19:04:04,21.0,68.4,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
2025-04-22 19:04:14,21.0,68.5,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
2025-04-22 19:04:24,21.0,68.6,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
2025-04-22 19:04:34,20.9,68.8,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
2025-04-22 19:04:44,20.9,69.0,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
2025-04-22 19:04:54,20.9,68.9,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
2025-04-22 19:05:04,21.0,68.8,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
2025-04-22 19:05:14,20.9,68.7,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
2025-04-22 19:05:24,20.9,68.7,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
2025-04-22 19:05:34,20.9,69.0,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
2025-04-22 19:05:44,20.9,69.2,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
2025-04-22 19:05:54,20.9,69.4,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
2025-04-22 19:06:04,20.9,69.5,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
2025-04-22 19:06:14,20.9,69.5,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
2025-04-22 19:06:24,20.9,69.9,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
2025-04-22 19:06:34,20.9,69.5,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
2025-04-22 19:06:44,20.9,69.4,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
2025-04-22 19:06:54,20.8,69.4,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
2025-04-22 19:07:04,20.9,69.5,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
2025-04-22 19:07:14,20.9,69.2,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
2025-04-22 19:07:24,20.8,69.1,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
2025-04-22 19:07:35,20.8,69.3,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
2025-04-22 19:07:44,20.8,69.0,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
2025-04-22 19:07:54,20.8,69.5,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
2025-04-22 19:08:05,20.8,69.5,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
2025-04-22 19:08:15,20.8,68.9,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
2025-04-22 19:08:25,20.8,69.3,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
2025-04-22 19:08:35,20.7,69.5,0.0,220.0,0.0,normal,NORMAL,0.0,OK,Normal
